Topic,Count,Name,Representation,Representative_Docs
76,32,76_brands hair_hair save_drying hair_fit hair,"['brands hair', 'hair save', 'drying hair', 'fit hair', 'hair dryer', 'tooth comb', 'hairdryer', 'case pretty', 'blow drying', 'smell looked']","['After several attempts to get this work, It finally worked on my Remington blow dryer, however it did not work on my expensive Babybliss blow dryer as it kept sliding off. When I began blow drying my hair, the attachment did not move; however I began to smell a burning smell and I looked inside the blow dryer and it was red-like it was going to catch on fire, I immediately turned it off and used my paddle brush and Babybliss blow dryer to finish blow drying my hair. Please save your money! Duck tape at this point would be better. This needs to be removed from the market.', 'Not worth the money and doesn’t fit any blow dryer that I own. Too hard to loosen. And you can’t return it if it doesn’t fit. Use the money towards a better blow dryer', 'Does not fit any blow dryer I have. Andis 1875 specifically.']"
77,32,77_tried eyebrows_eyebrow_applied cream_natural eyebrows,"['tried eyebrows', 'eyebrow', 'applied cream', 'natural eyebrows', 'eyebrows', 'match eyebrows', 'forehead didn', 'brow', 'like eyebrows', 'eyebrows thought']","[""When I received the product the box was old looking and a bit damaged but that was fine because the products inside were safely sealed. This product is definitely not long wearing! I ordered this almost a month ago and I have tinted my brows about 3 times. After the second day of tinting my brows they look horrible! I will not recommend this product. I'm sure there are other companies with better brow tinting products."", 'I just purchased this Blissful Brows eyebrow color. First, I thought the packaging was cheap. When I applied the cream on my eyebrows I was not happy with the color. I ordered dark brown it turned out to be black. I also felt the product was too expensive compared to other similar products I have tried previously.', 'In my opinion, this product is of very poor quality. It was dark and runny. I had thought that once it dried all would be fine and went about my merry way only to later catch a glimpse of myself in a mirror at the office --OMG! I saw dark runny &#34;Blissful Brows&#34; by Hairgenics had streamed down my brows to my eyes and on down my cheek!<br />[[ASIN:B072JX8LV5 Blissful Brows by Hairgenics - One Step Long Lasting Tinted Eyebrow Gel Infused with Fibers for Thick and Full Brows (Brunette)]]']"
78,31,78_stick regular_dry apply_product stuck_brand worked,"['stick regular', 'dry apply', 'product stuck', 'brand worked', 'peeled day', 'terrible product', 'peeled', 'difficult product', 'peeled hour', 'dry fast']","['Easy to apply yes but….I prepped as instructed. Clean hands, cuticles pushed back. I put them on and was immediately disappointed. I really wanted them to work and last. Had them on for an hour and then removed', 'Very difficult to apply.', ""The application is very difficult with this product, but I do appreciate that it was marketed to save product and apply in a hygenic way. I agree with that, and stand by those claims. The small folds around the edges frequently scrape product off, though, or it will get stuck in those ridges. I think it's a great idea, bilut execution-wise, it did not work for me.""]"
79,31,79_disappointed product_long purchased_claims_doesn clean,"['disappointed product', 'long purchased', 'claims', 'doesn clean', 'really messy', 'looking dry', 'tool', 'disappointing returned', 'caused', 'luck']","[""First thing, the concept is great, but that's just about it.<br />the suctions at the bottom don't hold tight in one place for you to scrub back and forth.  I end up chasing it rather than scrubbing my feet.  in the commercials they show a women in the tub with easyfeet on the foot end of the tub, which I never tired, but it's not possible with those suctions. The bristles are soft, but when you put the scrub/soap on top of the strap it just drips straight down, rather than on your feet.  I noticed that when I was cleaning my shower, I didn't notice initially cuz I always ended up scrubbing my feet with my hands, so my feet felt soft."", 'This product is just terrible!!!!  It sounds like a wonderful product on your feet.  Then you go to use the product, it is another story.<br /><br />1. You can not feel the bubbles at work on your feet.<br />2. The sea grass is something just to put your feet on and does nothing it clams.<br />3. Made great puddles on the floor.  This devise made bigger bubbles once your feet were in because it is a bad design and caused the water to splash out.<br />4. The water did not temped like it states in the instructions.<br />5. Not as quiet as it claims it is. It scared my 2 yr old, and had to turn the TV up a little.<br /><br />I am going to take it back, and advise no one to buy this!!!!!', 'Arthritic pain in feet.']"
80,31,80_worst product_product literally_product truly_careful product,"['worst product', 'product literally', 'product truly', 'careful product', 'plastic broke', 'rubbed', 'tangled mess', 'feathers', 'clean body', 'product expect']","['[[VIDEOID:26fb9346fb0b4ac6399281a942abc55f]] DO NOT BUY THIS !', '[[VIDEOID:506baf675c9b5fd9a4ee333fe8a576ac]]', '[[VIDEOID:ab03dc14b919eca36fccf774b68ea295]] Orible']"
81,31,81_dyes_eyeshadow_shades_photos,"['dyes', 'eyeshadow', 'shades', 'photos', 'shade', 'different shades', 'products', 'professional nail', 'product', 'finger']","[""I bought these for my son for Christmas because the description claims they are organic and 100% natural. I was looking for bath bombs with no artificial dyes. I even asked if the bombs had artificial dyes and someone responded they did not. That is not accurate. The ingredients on the box include artificial dyes yet the box says 100% organic. I don't understand how something could claim to be 100% organic and natural with artificial coloring. I feel misled."", 'There has been much discussion about this product on Amazon and professional nail tech blogs.  One of the most serious issues is the absence of a safety data sheet (SDS) from the manufacturer.  By law, manufacturers selling chemical products in the United States must provide accurately documented SDS upon request.  The manufacturer of this product has not provided such a SDS.  We ordered a product through Amazon which arrived via China Post/USPS identified as \'Makeup Tools\' for customs purposes.  As professional chemists, we analyzed this product (pH, FTIR, TGA, elemental analysis and GC-MS).  This alkaline product contains methylene chloride, methanol, n-butoxyethanol, a series of n-alkane hydrocarbons and two different petroleum boiling point distillate fractions.  Methylene chloride and methanol are known toxic chemicals which can be absorbed through the skin and inhaled into your respiratory tract.  Please use Google to search for and open the SDS docs for these two chemicals and read the hazards.  This product is similar to a methylene chloride containing industrial paint strippers which are being removed from the marketplace due to their toxic ingredient(s).  This product is not suitable for sale to the general public or to the professional nail community as a nail polish remover.  AMAZON is derelict in its duty to police the products it sells; in this case the product is highlighted as ""Amazon\'s Choice"".  Please be aware that there are other brands of \'Magic Remover\' being offered for sale with a similar name, paper label and bottle shape.  Buyer Beware!', 'This claims to be titanium dioxide free, gluten free, made with natural and organic ingredients, vegan, and free of parabens, nano-particles, bismuth oxychloride, talc, silicones, mineral oil, GMOs, artificial fragrance, artificial preservatives, FD&C dyes, carmine, and phthalates. It is made in the USA. The ingredient list is on the product box and it is really short (see photos). It claims to be formulated with natural ingredients, such as\xa0Kaolin Clay\xa0and Jojoba Oil. They say they are cruelty free. The product page has a photo that says “Leaping Bunny Certified,” but the logo on the box is a PETA logo. I checked both websites and HYNT Beauty is certified by both Leaping Bunny and PETA.<br /><br />I got the shade “Linen Kiss.” A little searching online showed it was a matte ivory. I really didn’t like they didn’t have much info at all about the shades to choose from. There weren’t any descriptions of the different shades to say whether they were matte, shimmer, etc. There weren’t photos other than the product in the little singles compact. I would have liked to have seen more product photos, like swatches comparing the different shades to help me choose, or at least a description of each shade. I had to search on Google and even when I went to their website there were only 4 shade options there. At least there they had a description for the 4 shades, but they only had the single photo of each in the singles compact. For a single eyeshadow coating $22, I expect more. The focus on the ingredients and what isn’t included is good, but they should also put a little attention on providing customers with more photos so they can easily pick a shade that’s right for them and be happy when the get it. Not have to guess what finish it has or if they shade is going to look like it does in the pan when they get it.<br /><br />This comes in a little ziplock bag. Inside is a little outer product box.<br /><br />It comes in a plastic singles compact. The top flips open easily.<br /><br />It’s a matte ivory.<br /><br />I show a photo where I swatched it. I did a finger swatch on my clean forearm (no lotion, primer, etc.). I swirled my finger in the pan and it seemed really hard pressed, like I wasn’t picking up much. I looked at my finger to see what I had picked up and should have been surprised after how much I swirled it in the pan that I didn’t have more, but I wasn’t really because of how hard pressed it felt. I took a photo showing it on my finger. As you can see, it isn’t very opaque and doesn’t look like I picked much up. I swirled a lot and that’s all I got. I swiped that onto my forearm. Then I went back into the pan. This time I pressed harder into the pan while I swirled. I picked up the same amount and put a second layer over the first one I had already done. Then, I did the same thing and did a different swipe. I did 3 layers for that one to show how it built up. It showed up enough on my fair skin, but I wasn’t a fan with how hard pressed this was. Maybe if I didn’t get such a light shade I’d like it more? But, I feel like the formula just isn’t too great and wouldn’t have great pigmentation with any color.<br /><br />It’s nice and smooth.<br /><br />Overall, its okay. It’s not for me. For me to spend $22 for a single eyeshadow, the eyeshadow needs to be pretty darn good. This just isn’t it. It’s too hard pressed for my liking. You don’t pick up much product and even when you do it doesn’t have that much pigmentation. Like I said, maybe with a different color it would be different, but I don’t think so. There’s way better options out there. I don’t recommend this.']"
82,31,82_hair sucks_sections hair_untangle hair_trying braid,"['hair sucks', 'sections hair', 'untangle hair', 'trying braid', 'hair braided', 'braid hair', 'root hair', 'crochet hair', 'hair matter', 'morning hair']","['This is not braiding hair. It is 90s dolls hair. Does not braid well and does not burn well. It also tangles. Extremely hard on the fingers while braiding. If feels like plastic. You know that doll whose hair is always sticking out, hard to comb, and itchy. This is the hair.<br /><br />Beautiful color, length and price are the only plus.', 'The magnetic wrist band IS NOT fully magnetic! Meaning only a portion or certain area of its surface will hold anything. The hair parter rings are not pointy enough for effective parting and might as well be made for a man or people with fat/chunky fingers (I have average-sized feminine hands and the rings sit right at MY second knuckles instead of on the finger tips as pictured AND expected, which would make a lot more sense in the case of using them to part sections of hair). The duck bill clips look cheap, feel cheap and give you a sense of feeling like they will break after only a few uses, if that. The combs are bigger than the average size that I typically use myself on a regular basis or that I see used by others, and the first ""parting tooth"" is a little flimsy for my liking. The rat tail end of the combs are also not tapered to the very tip, but instead flat causing hair parting to be less effective than if the ends were more pointed... As a hair braider, I honestly feel like I wasted my money on this purchase, regardless of how little or how much it costed. ALL OF THE ITEMS included ARE NOT worth buying unless you\'re amateur!!!', 'Bought this hoping it would help speed up doing hair for my daughters but, it just did not work at all.  Instead of making a pretty twist it ends up spinning the hair into a very tight twist more like a tangle.  I watched video tutorials and followed instructions and still could not get a nice looking twist either by manually twisting the braider or by turning on the spinner.  Even after removing the hair from the braider clips the hair would immediately unwind before I could even get a band or clip around the end.<br /><br />Both my daughters have long straight hair that I braid frequently and I know the Conair Quick Twist Braider is not meant to give you the traditional braid or really any braid just a twist of two sections of hair together but, for me all it did was make a mess of their hair.  I was really excited to try this and I love the idea but, I could not duplicate the pretty twists that were featured in the instructions.']"
83,31,83_lotion disappointed_wrinkles did_pleasant smell_smell great,"['lotion disappointed', 'wrinkles did', 'pleasant smell', 'smell great', 'lotion does', 'favorite lotion', 'love lotion', 'faint scent', 'scent moisturizing', 'watered lotion']","[""I can't speak to the actual lotion but I was very disappointed to received open, unsealed product with lotion missing and finger marks in the lotion. Totally unacceptable."", 'Put in lotion and very little comes out. I will find a thinner lotion and try', ""[[VIDEOID:1eae7b385ee0d5e676c718735d66c52a]] This review is for the actual product delivery, not the lotion. This lotion is wonderful. The best lotion I've used in years. It's all I have been using for at least the last 5 years... This is the first time I have had a problem with getting the lotion. My first order for two bottles came and the bottles were three quarters of the way full. So they said they would send a replacement. When I open the replacement both bottles had exploded in the bag leaving at least a cup of lotion in the bag with the bottles as you can see in the video. Amazon gave me a refund, but this could have been easily avoided. The lotions used to come with the lids taped down securely so that they would not pop open and leak any product, and packed inside of a box with protection. Twice these were delivered in an envelope. So I cannot tell you what happened other than I don't have the lotion that I wanted. 🙁 What a waste! It's the only thing that really works on my eczema.""]"
84,31,84_terrible_horrible_bad_money horrible,"['terrible', 'horrible', 'bad', 'money horrible', 'horrible don', 'smells bad', 'terrible waste', 'dandruff', 'highly', 'scam']","['Waste of money', 'Waste of money', 'Waste of money']"
85,30,85_picture_like picture_disappointed_kind,"['picture', 'like picture', 'disappointed', 'kind', 'did', 'carefully', 'expected', '', '', '']","['Not as expected', 'Not at all what I expected', 'Not what I expected it']"
86,30,86_different spray_freshener_disappointed wipes_fades away,"['different spray', 'freshener', 'disappointed wipes', 'fades away', 'water waste', 'bottle water', 'fades', 'faded immediately', 'menthol', 'vicks']","[""it's like baby powder f this stuff"", 'Scent is too strong it doesn’t even smell like baby powder it smells like incense. Scent made me feel sick. Don’t waste your money.', 'The little thing will choke you... a little goes a small way. I have a strong scent of smell and wanted something light.... TOTALLY OPPOSITE! But it does smell like baby powder just very strong baby powder']"
87,30,87_looks beautiful_clogs_deserve stars_dull just,"['looks beautiful', 'clogs', 'deserve stars', 'dull just', 'price really', 'picture did', 'unit looks', 'feel product', 'product unhappy', 'sincerely']","['I didn\'t buy from this Amazon vendor and am still in the installation process.  This is what I feel about this product so far:<br />1) The funtions and the price seems very attactive.  However, there are many design issue made the installation process not pleasant.<br />2) The installation manual, as expected through preview, is horrible.  There are many key steps not clearly stated.  I have to figured them out myself and it took me long time to do so.<br />3) The design is not space saving.  The hardwares are behind the glass panels which demand space.  Although it claims to be standard 60X32.  The space inside the enclosure is much smaller than that because of the hardware behind the glass panels.  This, by the way, is not clearly explained, and I concerned about not having enough bathroom space to host it.  I had to put the frame up to understand that it requires 60X32 finished space to host the unit.  Essentially treat it like a washer/dryer.<br />4) The drainage design is not American standard, and I was told it\'s European.  The drainage pipe is only 1 1/2"" (American uses 2"" pipe) and no clear instruction in the menu on drainage hookup or choices of rough in preparation.  The flexible drainage pipe looks cheap and I am not sure how long it will last before leaking.<br /><br />I\'ll update you once the unit is finished and tested.  Oeverall, the price seems really attractive.  I recommend to have an experienced guy, which is hard to find, to put it together.<br /><br />The contractor just got the installation 95% done.  The unit looks beautiful.  Everything works.  I didn\'t regret the purchase, and feel the manufacturer should improve the product, especially installation manual, to deserve more stars.', 'I really liked this pillow until I washed it. The suction cups no longer stick so now its relatively useless.', 'The suction cups easily fall out. The pillow is fine, but all of the suction cups have fallen out within just a few uses. Would work great if you plan to never move the pillow. I have to move it around to find comfort, and the suction cups stick to the tub and pull out of the pillow.']"
88,30,88_bad_product_cheap product_product cheap,"['bad', 'product', 'cheap product', 'product cheap', 'good', 'quality great', 'great', 'cheap quality', 'returned cheap', 'great just']","['Cheap.', 'Cheap!!!!!!', 'Cheap.']"
89,30,89_color hardly_like faded_like glitter_glitter,"['color hardly', 'like faded', 'like glitter', 'glitter', 'color really', 'readable', 'isn broken', 'impossible clean', 'color', 'ghost']","['Undisclosed glitter added????', ""Haven't tried the actual glitter yet, when I opened to box literally glitter all over the box and everything in it. And now it's all over me and my couch."", 'Not sure if this product provides any real benefit but it will leave glitter wherever it is applied. I didn’t see glitter in the description and I’m not sure why anyone would put glitter in this product.']"
90,29,90_cheap didn_lasted months_dissapointed_bought different,"['cheap didn', 'lasted months', 'dissapointed', 'bought different', 'bad did', 'didn fit', 'didnt fit', 'sellers', 'fit waste', 'man']","['The items don’t fit in the case.  The case will inevitably break due to forced closure.  Buy something else.', 'I did like the phone case', ""I would love this phone case if my phone fit in it!!! Such crap I buy this thinking it would work with my phone, and of course it doesn't.""]"
91,29,91_looks_used great_sucked_looks nice,"['looks', 'used great', 'sucked', 'looks nice', 'thought good', 'thought', 'good used', 'thank', 'expected good', 'good picture']","['Good', 'This was good', 'not good']"
92,29,92_product dried_product refund_dried product_dried unusable,"['product dried', 'product refund', 'dried product', 'dried unusable', 'came dried', 'arrived dried', 'threw product', 'feels dry', 'uses product', 'rub']","['It dried up 2 days after I opened :(', 'Dried out when first opened.', 'Product was dried up .']"
93,28,93_product leaked_review product_product use_body wash,"['product leaked', 'review product', 'product use', 'body wash', 'bought product', 'lose product', 'water', 'defective', 'leak', 'purchased said']","['It leaks.', 'Leaks', 'Mine leaks all over...']"
94,28,94_try brands_price guess_pretty terrible_removed hairs,"['try brands', 'price guess', 'pretty terrible', 'removed hairs', 'better products', 'piercing', 'pierced', 'money impressed', 'product failed', 'night product']","['Used product for more than a week after showering in the morning.  When I would go to bed at night, the product had failed, requiring a second application.  Save your money and time; use a different product.', ""Save your money! I've used it twice for neuropathy and it lasts maybe an hour. So it doesn't help me sleep throughout the night. What works better is 3 drops of Cypress essential oil mixed with hand lotion and rubbed on my legs with upward motion (toward the heart).  That seems to last through the night.."", ""This product is ridiculously ineffective.  Not only did it NOT work to relieve pain, but it stinks like crazy! I could not get the stench off of my skin - even after scrubbing with a soapy washcloth!  I had to wait for it to wear off - took 2 days - while the smell made me sick to my stomach!<br /><br />And good luck getting your money back when you contact customer service! They have a scam going where they keep sending this crappy product every few months and charging your credit card for $80!  And there is no returning the product for any kind of refund, even if it is UNOPENED.<br /><br />Don't waste your money!""]"
95,28,95_super expensive_money cheap_cheap garbage_expensive tiny,"['super expensive', 'money cheap', 'cheap garbage', 'expensive tiny', 'eventually broke', 'crap bought', 'sorry product', 'quality just', 'messy use', 'don buy']","['These do NOT work. I followed the instructions, dropped the bath bomb in the water, it fizzled for a few minutes and then eventually broke apart into several pieces...', 'I should have listened to the reviews. I did not get what i ordered which is so irritating.  I was really looking forward to getting these so i can try them and see if they work, but instead i will be returning it and hopefully get my money back.', 'They don’t work. Whether you let it dry or don’t. Tried all the ways possible to make it work. I wasted my $15 bucks. Don’t buy em. Don’t be fool.']"
96,28,96_didn work_worked just_did work_work didn,"['didn work', 'worked just', 'did work', 'work didn', 'worked', 'junk', 'bad', 'just fine', 'work did', 'looked bad']","[""Didn't work"", 'Didn’t work', ""Didn't work""]"
97,28,97_hide hair_worst hair_braid_does braid,"['hide hair', 'worst hair', 'braid', 'does braid', 'length hair', 'hair point', 'gap hair', 'inch hair', 'reviews hair', 'hair 12']","[""I ordered 18 inches. The label says 18 but it's more like 14 inches at the bottom and and 10 inches at the top. The hair is very soft. Shiny like doll hair. The ends were VERY thin. The front is very thin."", 'I received 2 14inch bags and no 16 inch bag. The 14 inch was labeled as a 16 inch bundle, yet it was the same size as my 14 inch bag. Due to the 18 inches being in my hair there’s no chance for a return. Make sure you open the bags and compare the products length. Otherwise you’ll be disappointed. This has left a huge gap in my hair line. I would love a refund for this product.', 'Although the hair was nice and the package arrived in a timely manner, this product I ordered was inaccurate based on the description. The description stated 14 inch hair, as you can see in the picture it is much longer than that. My stylist told me this is 18 inch hair. Very disappointed because I didn’t want my hair this long, so beware.']"
98,28,98_didn buy_did order_pure junk_glad didn,"['didn buy', 'did order', 'pure junk', 'glad didn', 'trash ordered', 'sorry', 'terrible', 'don buy', 'junk junk', 'disappointed junk']","['Junk!!', 'trash', 'Trash']"
99,27,99_shampoo runny_like shampoo_wax gel_dry gel,"['shampoo runny', 'like shampoo', 'wax gel', 'dry gel', 'gel clear', 'gel doesn', 'gel gel', 'gel nice', 'gel', 'gel does']","['It’s hyaluronic acid gel that’s $16.50. Too expensive. You can buy this same type of gel for $5', ""I bought both the bath gel (which isn't a gel thickness. More like shampoo. Very thin and runny) and body lotion.  They smell good, but the bath gel makes bathtub very slippery, more so than American brands. Worst thing was the packaging. The plastic tubes are beautiful. But when they pack them for sending, they wrap them in waterproof tape which cannot be removed without ruining the appearance of the tubes. In getting the wrapping tape off so they can be opened, the labels are also removed and a black ugly residue remains on the tubes. They say they are from Italy, but were shipped from China. Looks like someone's home chemistry product being marketed as professional. They need to hire some competent experts to help them with marketing."", 'Change your description it say gel but it is not']"
100,27,100_greasy product_extremely greasy_felt oily_like wax,"['greasy product', 'extremely greasy', 'felt oily', 'like wax', 'skin break', 'wax', 'scalp', 'wrinkled', 'hair feel', 'heavy greasy']","[""Sticky detangler... Leaves heavy buildup on hair, which makes hair look greasy within a few hours. Terrible product, not even a good detangler! Very disappointed, as I was looking for a better product for my 5-year old daughter's thick hair. Would DEFINITELY not recommend to anyone! Very disappointed :-("", 'Not what I expected. Felt like grease and looked greasy on me.', 'greasy']"
101,27,101_look product_usable disappointed_amazing quality_distorted,"['look product', 'usable disappointed', 'amazing quality', 'distorted', 'seller return', 'ordered new', 'bought expensive', 'asked replacement', 'came cover', 've issue']","['Received the mirror in a flexible envelope. mirror was broken to pieces.', 'It said mirror effect and the bottle was all shiny and mirrored like but it had no mirror effect at all.', 'Nice mirror, but arrived a little damaged. The corner of the left mirror is chipped.']"
102,27,102_old bottle_product spilled_seal broken_mess product,"['old bottle', 'product spilled', 'seal broken', 'mess product', 'love gel', 'color fine', 'used returned', 'scraped', 'product seal', 'product factory']","['got the product in a timely matter but it has been opened and appeared not full.  no safety seal. lid had been taped up with packing tape.', 'The lid was broke and the oil was all spilled when i opened the package.', 'This particular color Arrive with no security seal. The other color I ordered was fine. When I used this one is did not go on as well as the other Orly breathable polish that I’ve ordered. It actually started wearing off that day. It’s my guess that with no security seal this may have been an old bottle most likely used. My other color is fine and as expected.']"
103,27,103_work pretty_shower caddy_shower week_loosens,"['work pretty', 'shower caddy', 'shower week', 'loosens', 'retail store', 'poorly return', 'weekly', 'disappointing buy', 'quality buy', 'buy came']","['It falls apart easily!!', 'The product was received by me in early September 2017.<br /><br />Unfortunately, the product is defected. The base where the stand sits was loose and screw came out. Had to use crazy glue and eventually tape to hold the stand together. Should have purchased a less expensive version. See my pics. Clear tape was used to hold together. Now the stand has to stay put together. I’m araid to take it apart or it may collapse.  Too late to return. #Ugh', ""I had a Beltronics radar detector and had an Arkon mount that's similar to this one. I never had any problems with the Arkon mount but cannot say the same for this mount. After the Beltronics was stolen, I purchased a Cobra replacement and this mount to replace the Arkon windshield mount because it would not work with the Cobra, but this mount is nowhere near as good as the Arkon mount was. Specifically, the differences between this and the Arkon are two:<br /><br />1. I have to reattach the mount to the windshield weekly because it eventually loses its hold and falls off.<br />2. I have to retighten the leveling screw often because it loosens with vibration and the detector doesn't stay level.<br /><br />You're better off using the mount that comes with the detector than spending extra money for this one. There also may be others sold on Amazon that are better than this one.""]"
104,26,104_product guess_product perfect_think product_product great,"['product guess', 'product perfect', 'think product', 'product great', 'pick product', 'product worth', 'better product', 'overpriced product', 'code', 'product big']","[""Value for money. You get what you paid for.<br />Very thin, don't even think about getting a second wear out of this.<br />Doesn't look like the picture ...at all."", 'Got it for a gift. After receiving it, I felt robbed. A permanent price on the item of about $1.99, after I paid more than $8 for this item made me feel betrayed and robbed. I encourage entrepreneurs to make profit, but this was a little over the top for me. I just wanted to make my grandson happy and would never have known the real retail value otherwise.', 'Not worth the high price.  Many products on the market  just as good for a better value']"
105,26,105_product terrible_product horrible_products awful_terrible product,"['product terrible', 'product horrible', 'products awful', 'terrible product', 'product bad', 'horrible product', 'bad product', 'awful product', 'product disappointed', 'disappointed product']","[""I don't like it. I read a lot of reviews before buying this and a friend of mine told me she like it. Well, it is one of those products I guess that some do like it some don't. I just feel it is over priced and you could find something as good for a whole lot less."", 'Did NOT like this product at all !', 'Did not like this product.']"
106,26,106_thing broke_item does_stuck hair_brand did,"['thing broke', 'item does', 'stuck hair', 'brand did', 'contents leaked', 'cheap didn', 'night product', 'tried hair', 'looks different', 'tore hair']","['Changed my hairstyle. Remember these from when I was a kid. Buy coated ones. It pulls the hair to remove!', 'Too big and awkward, pulls hair when you remove', 'Pulls your hair, not at all like the wetbrush brand']"
107,26,107_bottle useless_unpleasant smell_smell putting_clean away,"['bottle useless', 'unpleasant smell', 'smell putting', 'clean away', 'buy bottle', 'bottle hoping', 'rid', 'dirt', 'hole', 'heads']","[""Doesn't work at all. It did not remove any blackheads."", 'This product did nothing to my blackheads. I have a combination skin, with blackheads only on my nose and some on my chin. I have been using this product as directed for more than a week now and I do not see any difference in the appearance of my blackheads. Will still keep using it until I finish the bottle hoping that it will work eventually, but looks like I am not going to buy another bottle of this useless product.', ""I thought this would pull out a lot of blackheads, but it didn't. You're better off getting the Biore strips if you want to really pull out blackheads. On the plus side though, it does make your skin feel really smooth just doesn't pull out any blackheads.""]"
108,25,108_product red_product unreliable_product mind_overpriced product,"['product red', 'product unreliable', 'product mind', 'overpriced product', 'money worked', 'item really', 'reviews stating', 'kind product', 'product company', 'worked']","['Motor has very little power, stops mid use sometimes', 'Nevermind the noise. Nevermind the lack of any kind of edge (surely a precise cut should be a priority for this kind of product). Never mind the less-than-impressive construction, where you are constantly worried about the thing coming apart in your hands.<br /><br />The most annoying thing about this hugely overpriced product is the unreliable motor which cuts out at frequent intervals regardless of the battery charge. It\'s just a cheap, old and tired product that needs bringing into the 21st century. It\'s the sort of product you see advertised on TV with a ""but wait! There\'s more!"" add on.<br /><br />Maybe there\'s a knack to getting performance and reliability from this shoddy plastic toy but it\'s going to be a mighty long time before I waste good money on a product by this company again.<br /><br />Avoid.', 'Not enough power in the motor to spin the head. I returned the item.']"
109,25,109_getting hair_hair caught_hair constantly_received good,"['getting hair', 'hair caught', 'hair constantly', 'received good', 'order new', 'tails', 'received quickly', 'day received', 'arrived broken', 'easily bought']","['Missing rhinestones', ""Beautiful crown, but falls apart easily. Bought for my daughter's 9th birthday. She has worn it a handful of times in the 2 weeks she has had it and multiple gems have fallen out and just last night half the crown came apart from the band."", 'Beautiful in the picture affordable and fast shipping. Arrived exactly when it said it would. Packed well and came in a cure little pink draw string bag. But when I took the crown out of the draw string bag and out of the plastic this royal illusion shattered! As soon as I touched it 90% of the jewls fell off this crown!!! My daughter was devastated as we had ordered it for her birthday party. I had to painstakingly glue back on each individual jewl as there was not enough time to order a new one. When in one piece the crown is stunning. But I never thought the affordable price would have meant it would break as soon as it hit air.']"
110,25,110_cheap hair_looks bad_quality wear_bad,"['cheap hair', 'looks bad', 'quality wear', 'bad', 'hair cover', 'hair', 'texture good', 'seamed', 'line hard', 'brush self']","['The hair color  was pretty, but the braids badly done, and the tracks were visible, it looked fake, fake adversating saying the line hair looks very natural. I returned, I wanted a nice braided wig, maybe if you unbraided could look nicer.', 'The platinum blond arrived is yellow - a golden blonde. Also the straight across seamed line would be hard to hide unless lower in hair with sufficient hair to cover the straight seam. A rounded narrow attachment piece is much easier to hide.', ""Didn't quite match with my hair color as I do not dye my hair but overall a nice looking color if you do have colored hair.  Didn't quite work for my hairline/hair texture as my natural hair is baby fine.""]"
111,24,111_shaped weird_really messy_odd shaped_messy,"['shaped weird', 'really messy', 'odd shaped', 'messy', 'messy definitely', 'worst', 'worst thing', 'shaped', 'weird material', 'weird']","['too messy', 'VERY MESSY', 'Clumpy too wet and messy']"
112,24,112_sucks paint_little color_does color_poor product,"['sucks paint', 'little color', 'does color', 'poor product', 'good quality', 'received black', 'sponge color', 'price did', 'horrible dry', 'decent price']","['Firstly, I ordered the 80 pack of these makeup sponges to do some of my artwork,  so I would love for them to be a nice triangle shape so I will not have any difficulty getting right on to the project. And yes, I know that these are Makeup Sponges, but I’m pretty sure anyone who orders these for makeup would love for them to be a nice shape  without looking like they’ve gone through hell and back as well. So I get my package today, and I counted that I only got 50 and not 80. Then I looked through them and I separated the ones that were a perfect shape, the ones that I could cut to make okay, then the ones that could not be saved at all because of how dented, torn, and just not a flattering triangle. And out of the 50 I got, I could only save/use 30. So I paid for 80 sponges, only received 50, and can only use 30. And I paid a very decent price and did not get what I paid for.<br />So will I buy this again? - Ehh. Depending on if the price lowers, then maybe. However, I will make sure to buy 2 packages instead of just one to at least get a little more of my moneys worth.', 'The sponge was of poor quality, cheaply made and some peaks on the sponge were missing.', 'Nothing more than a sponge in a can.']"
